task,start_ns,duration_ns
construct_escape_carry_index,0,9217
prepare_kernel_input,9428,310406
construct_combined_index_npu,321146,5353779
npu_kernel_run,520693,4754487
construct_escape_carry_index,5282063,7594
prepare_kernel_input,5289768,337266
construct_combined_index_npu,5675205,1636310
npu_kernel_run,5869793,600303
read_kernel_output,6470928,465409
construct_escape_carry_index,6952647,6362
prepare_kernel_input,6959080,318030
automaton,6963889,1300816
construct_combined_index_npu,7311776,1878957
npu_kernel_run,7508607,833163
read_kernel_output,8342301,463656
construct_escape_carry_index,8811557,7464
prepare_kernel_input,8819102,336946
automaton,8827287,1430922
construct_combined_index_npu,9190994,2040583
npu_kernel_run,9387645,996151
read_kernel_output,10384547,464447
construct_escape_carry_index,10853563,8225
prepare_kernel_input,10861869,335353
automaton,10870465,1466329
construct_combined_index_npu,11231737,1586957
npu_kernel_run,11429130,541192
read_kernel_output,11970993,458466
construct_escape_carry_index,12433326,7364
prepare_kernel_input,12440770,342807
automaton,12450128,1501935
construct_combined_index_npu,12818854,1542652
npu_kernel_run,13016006,484445
read_kernel_output,13501002,475698
construct_escape_carry_index,13980457,7224
prepare_kernel_input,13987761,339601
automaton,13988152,1407537
construct_combined_index_npu,14361697,1586185
npu_kernel_run,14558889,537345
read_kernel_output,15097015,458556
construct_escape_carry_index,15558958,6352
prepare_kernel_input,15565390,346614
automaton,15576921,1502187
construct_combined_index_npu,15948032,1587007
npu_kernel_run,16144734,483733
read_kernel_output,16629178,506717
construct_escape_carry_index,17147266,7254
prepare_kernel_input,17154650,343168
automaton,17159590,1492307
construct_combined_index_npu,17535299,1585884
npu_kernel_run,17736760,532405
read_kernel_output,18269806,470408
construct_escape_carry_index,18744693,6602
prepare_kernel_input,18751365,333029
automaton,18761885,1459947
construct_combined_index_npu,19121334,1585513
npu_kernel_run,19316111,534900
read_kernel_output,19851482,458917
construct_escape_carry_index,20314837,6953
prepare_kernel_input,20321871,350061
automaton,20331609,1548644
construct_combined_index_npu,20706998,1599750
npu_kernel_run,20900964,532756
read_kernel_output,21434091,463264
construct_escape_carry_index,21900872,6983
prepare_kernel_input,21907925,363717
automaton,21930798,1427826
construct_combined_index_npu,22306899,1586034
npu_kernel_run,22502398,537825
read_kernel_output,23040604,459407
construct_escape_carry_index,23504309,6513
automaton,23504880,1546811
prepare_kernel_input,23510892,347626
construct_combined_index_npu,23893073,1592197
npu_kernel_run,24088513,531273
read_kernel_output,24620156,474055
construct_escape_carry_index,25097778,6963
automaton,25098850,1528416
prepare_kernel_input,25104842,345592
construct_combined_index_npu,25485550,1559084
npu_kernel_run,25685137,504232
read_kernel_output,26189750,458145
construct_escape_carry_index,26652303,6853
automaton,26652764,1510512
prepare_kernel_input,26659226,351113
construct_combined_index_npu,27044784,1547352
npu_kernel_run,27240203,500325
read_kernel_output,27740899,457003
construct_escape_carry_index,28202079,6843
automaton,28202981,1525631
prepare_kernel_input,28209033,348017
construct_combined_index_npu,28592276,1587788
npu_kernel_run,28794258,529259
read_kernel_output,29323908,464948
construct_escape_carry_index,29793384,8256
automaton,29793605,1462010
prepare_kernel_input,29801720,343799
construct_combined_index_npu,30180225,1582107
npu_kernel_run,30375984,536002
read_kernel_output,30912377,456602
construct_escape_carry_index,31372546,6983
automaton,31373447,1521333
prepare_kernel_input,31379629,347216
construct_combined_index_npu,31762482,1580184
npu_kernel_run,31958061,530362
read_kernel_output,32488803,464838
construct_escape_carry_index,32957458,7364
automaton,32958180,1403630
prepare_kernel_input,32964892,343158
construct_combined_index_npu,33342936,1581747
npu_kernel_run,33537724,531964
