task,start_ns,duration_ns
construct_escape_carry_index,0,8435
prepare_kernel_input,8646,344931
construct_combined_index_npu,354699,4119077
npu_kernel_run,556270,3541877
construct_escape_carry_index,4102144,6813
prepare_kernel_input,4109037,328180
construct_combined_index_npu,4474056,1627252
npu_kernel_run,4670217,568894
read_kernel_output,5239792,445361
construct_escape_carry_index,5703507,6422
prepare_kernel_input,5710030,353206
automaton,5743984,2933117
construct_combined_index_npu,6101920,3027756
npu_kernel_run,6307949,480717
read_kernel_output,6789658,448477
automaton,8677322,3022696
construct_escape_carry_index,8695506,8496
prepare_kernel_input,8704423,378855
construct_combined_index_npu,9130848,3035040
npu_kernel_run,9326708,576388
read_kernel_output,9904749,473023
automaton,11700750,3198017
construct_escape_carry_index,11742208,16531
prepare_kernel_input,11758919,359519
construct_combined_index_npu,12167180,3139157
npu_kernel_run,12366857,566440
read_kernel_output,12935110,476089
automaton,14899509,3067080
construct_escape_carry_index,14938122,7734
prepare_kernel_input,14946097,322839
construct_combined_index_npu,15306878,3063523
npu_kernel_run,15502407,543756
read_kernel_output,16047386,487460
automaton,17966940,2959487
construct_escape_carry_index,18006064,7263
prepare_kernel_input,18013528,319172
construct_combined_index_npu,18370963,2958285
npu_kernel_run,18565580,543466
read_kernel_output,19109998,539819
automaton,20926778,3264282
construct_escape_carry_index,20961914,6863
prepare_kernel_input,20968987,323471
construct_combined_index_npu,21329789,3266366
npu_kernel_run,21525358,540961
read_kernel_output,22067281,465619
automaton,24191411,2974125
construct_escape_carry_index,24230475,8666
prepare_kernel_input,24239221,320105
construct_combined_index_npu,24596726,2973334
npu_kernel_run,24811352,530471
read_kernel_output,25343035,481229
automaton,27165817,2964586
construct_escape_carry_index,27201594,7845
prepare_kernel_input,27209639,323070
construct_combined_index_npu,27570601,2964456
npu_kernel_run,27776750,518579
read_kernel_output,28296321,479776
automaton,30130804,2887061
construct_escape_carry_index,30168525,7635
prepare_kernel_input,30176490,321417
construct_combined_index_npu,30535619,2901187
npu_kernel_run,30730356,527857
read_kernel_output,31259185,462693
automaton,33018125,2909884
construct_escape_carry_index,33053993,17283
prepare_kernel_input,33071476,326096
construct_combined_index_npu,33437347,2879396
npu_kernel_run,33631814,521134
read_kernel_output,34153819,465589
automaton,35928720,3597392
construct_escape_carry_index,35938028,7875
prepare_kernel_input,35945983,333710
construct_combined_index_npu,36317304,3614694
npu_kernel_run,36512392,503130
read_kernel_output,37015923,470658
automaton,39526563,3005784
construct_escape_carry_index,39536632,8125
