task,start_ns,duration_ns
construct_escape_carry_index,0,9809
prepare_kernel_input,10009,333099
construct_combined_index_npu,344260,5235014
npu_kernel_run,558724,4645282
construct_escape_carry_index,5209115,8326
prepare_kernel_input,5217631,326797
construct_combined_index_npu,5579534,1564892
npu_kernel_run,5775744,523648
read_kernel_output,6300003,477851
construct_escape_carry_index,6792532,6843
prepare_kernel_input,6799455,310606
automaton,6804775,2564788
construct_combined_index_npu,7144576,2624841
npu_kernel_run,7361575,498861
read_kernel_output,7861558,477922
automaton,9369743,2645730
construct_escape_carry_index,9388749,8225
prepare_kernel_input,9397155,335502
construct_combined_index_npu,9769667,2646391
npu_kernel_run,9965446,492279
read_kernel_output,10458096,469335
automaton,12015713,2972717
construct_escape_carry_index,12033958,7304
prepare_kernel_input,12041342,339610
construct_combined_index_npu,12416259,2965293
npu_kernel_run,12612309,501155
read_kernel_output,13113955,477130
automaton,14988561,2310337
construct_escape_carry_index,15001104,6713
prepare_kernel_input,15007887,337406
construct_combined_index_npu,15381742,2309646
npu_kernel_run,15575638,442795
read_kernel_output,16018694,480295
automaton,17299149,3835985
construct_escape_carry_index,17303858,7975
prepare_kernel_input,17311923,344970
construct_combined_index_npu,17691589,3844341
npu_kernel_run,17887528,456732
read_kernel_output,18344570,464587
automaton,21135224,2363758
construct_escape_carry_index,21141386,7103
prepare_kernel_input,21148569,352465
construct_combined_index_npu,21536090,2357727
npu_kernel_run,21731679,420844
read_kernel_output,22152763,469906
automaton,23499082,2387904
construct_escape_carry_index,23504903,7545
prepare_kernel_input,23512528,346243
construct_combined_index_npu,23894027,2378967
npu_kernel_run,24089426,399894
read_kernel_output,24489561,467291
automaton,25887117,2391691
construct_escape_carry_index,25891745,7755
prepare_kernel_input,25899590,338338
construct_combined_index_npu,26273205,2399155
npu_kernel_run,26474705,439188
read_kernel_output,26914134,476759
automaton,28279088,5267154
construct_escape_carry_index,28283557,7213
prepare_kernel_input,28290840,347466
construct_combined_index_npu,28672640,5298444
npu_kernel_run,28867859,462803
read_kernel_output,29330912,471389
automaton,33546453,2408703
