task,start_ns,duration_ns
construct_escape_carry_index,0,9307
prepare_kernel_input,9558,309895
construct_combined_index_npu,320295,5331631
npu_kernel_run,520213,4768777
construct_escape_carry_index,5293939,7785
prepare_kernel_input,5301834,315025
construct_combined_index_npu,5652196,1557312
npu_kernel_run,5846573,527787
read_kernel_output,6375402,469958
construct_escape_carry_index,6860829,7054
prepare_kernel_input,6867963,307230
automaton,6874515,1143871
construct_combined_index_npu,7209698,1565888
npu_kernel_run,7404216,509863
read_kernel_output,7915221,463996
construct_escape_carry_index,8389256,6573
prepare_kernel_input,8395909,344050
automaton,8401159,1125405
construct_combined_index_npu,8775836,1560668
npu_kernel_run,8970684,520574
read_kernel_output,9491829,467052
construct_escape_carry_index,9963941,6832
prepare_kernel_input,9970904,330845
automaton,9979801,1122410
construct_combined_index_npu,10336655,1523317
npu_kernel_run,10531653,484104
read_kernel_output,11016128,465660
construct_escape_carry_index,11485855,7424
prepare_kernel_input,11493359,332909
automaton,11501605,1090209
construct_combined_index_npu,11860122,1540530
npu_kernel_run,12055080,472443
read_kernel_output,12527894,498952
construct_escape_carry_index,13031024,7624
prepare_kernel_input,13038739,327568
automaton,13046513,1156174
construct_combined_index_npu,13400852,1514952
npu_kernel_run,13600510,464918
read_kernel_output,14065929,461922
construct_escape_carry_index,14531228,6893
prepare_kernel_input,14538211,344050
automaton,14554973,1286109
construct_combined_index_npu,14915974,1503240
npu_kernel_run,15111414,426325
read_kernel_output,15538129,493423
construct_escape_carry_index,16039296,6292
prepare_kernel_input,16045658,337648
automaton,16052641,1208583
construct_combined_index_npu,16419364,1487259
npu_kernel_run,16626004,436645
read_kernel_output,17062960,462123
construct_escape_carry_index,17528369,7774
prepare_kernel_input,17536224,335363
automaton,17550751,1219413
construct_combined_index_npu,17906773,1458155
npu_kernel_run,18101742,424081
read_kernel_output,18526063,464367
construct_escape_carry_index,18993927,6713
prepare_kernel_input,19001010,328711
automaton,19009677,1200357
construct_combined_index_npu,19365078,1475667
npu_kernel_run,19563813,429251
read_kernel_output,19993315,457864
construct_escape_carry_index,20454085,6723
prepare_kernel_input,20460878,345713
automaton,20470566,1202472
construct_combined_index_npu,20840886,1446792
npu_kernel_run,21036325,411046
read_kernel_output,21447612,465329
construct_escape_carry_index,21916207,6793
prepare_kernel_input,21923070,330815
automaton,21932578,1282953
construct_combined_index_npu,22287829,1459907
npu_kernel_run,22480703,424412
read_kernel_output,22905365,464878
construct_escape_carry_index,23372718,6452
prepare_kernel_input,23379341,334742
automaton,23392105,1217058
construct_combined_index_npu,23747927,1439218
npu_kernel_run,23940170,406898
read_kernel_output,24347309,464888
construct_escape_carry_index,24814451,6923
prepare_kernel_input,24821454,332278
automaton,24833437,1217370
construct_combined_index_npu,25187295,1462753
npu_kernel_run,25380430,433780
read_kernel_output,25814450,461462
construct_escape_carry_index,26278096,7023
prepare_kernel_input,26285279,331376
automaton,26296400,1193365
construct_combined_index_npu,26650199,1457182
npu_kernel_run,26842532,433829
read_kernel_output,27276602,460890
construct_escape_carry_index,27739667,6592
prepare_kernel_input,27746329,327649
automaton,27758733,1240262
construct_combined_index_npu,28107531,1457123
npu_kernel_run,28300285,432578
read_kernel_output,28733103,459648
construct_escape_carry_index,29195136,8526
prepare_kernel_input,29203742,324453
automaton,29213601,1219473
construct_combined_index_npu,29564854,1461891
npu_kernel_run,29756376,430493
read_kernel_output,30187109,464818
construct_escape_carry_index,30654112,7033
prepare_kernel_input,30661225,332057
automaton,30673107,1167365
construct_combined_index_npu,31026896,1459386
npu_kernel_run,31219119,437226
read_kernel_output,31656595,459879
construct_escape_carry_index,32118678,7234
prepare_kernel_input,32125982,326957
automaton,32135410,1237788
construct_combined_index_npu,32486473,1469776
npu_kernel_run,32683876,432366
read_kernel_output,33116493,465559
construct_escape_carry_index,33584146,7124
automaton,33590107,1253949
prepare_kernel_input,33591450,331436
construct_combined_index_npu,33956399,1447805
npu_kernel_run,34148382,425684
read_kernel_output,34574306,459308
construct_escape_carry_index,35035968,7104
automaton,35041880,1208302
prepare_kernel_input,35043182,327669
construct_combined_index_npu,35404394,1469165
npu_kernel_run,35599052,434921
read_kernel_output,36034224,464928
construct_escape_carry_index,36501316,6773
automaton,36506326,1187643
prepare_kernel_input,36508189,331977
construct_combined_index_npu,36873760,1426224
npu_kernel_run,37065923,405666
read_kernel_output,37471839,460410
construct_escape_carry_index,37934433,6843
automaton,37939142,1364638
prepare_kernel_input,37941376,325245
construct_combined_index_npu,38300174,1446743
npu_kernel_run,38492658,416506
