task,start_ns,duration_ns
construct_escape_carry_index,0,9599
prepare_kernel_input,9799,305036
construct_combined_index_npu,315636,5343976
npu_kernel_run,572581,4702435
construct_escape_carry_index,5279955,7555
prepare_kernel_input,5287610,337086
construct_combined_index_npu,5659882,1491415
npu_kernel_run,5854179,529930
read_kernel_output,6384791,409452
construct_escape_carry_index,6810925,6713
prepare_kernel_input,6817718,299715
automaton,6823909,955925
construct_combined_index_npu,7151458,1376187
npu_kernel_run,7346295,485757
read_kernel_output,7832653,332688
construct_escape_carry_index,8169499,7153
prepare_kernel_input,8176723,317168
automaton,8185008,810961
construct_combined_index_npu,8527785,1452982
npu_kernel_run,8722142,463555
read_kernel_output,9186208,432145
construct_escape_carry_index,9621579,6894
prepare_kernel_input,9628543,318511
automaton,9637990,1033802
construct_combined_index_npu,9980908,1474943
npu_kernel_run,10175806,432556
read_kernel_output,10608903,475317
construct_escape_carry_index,11087276,6783
prepare_kernel_input,11094139,317980
automaton,11103336,1240291
construct_combined_index_npu,11456002,1478250
npu_kernel_run,11649146,460139
read_kernel_output,12109796,462943
construct_escape_carry_index,12575945,7304
automaton,12581165,1101178
prepare_kernel_input,12583379,317219
construct_combined_index_npu,12934402,1432824
npu_kernel_run,13129630,461461
read_kernel_output,13591732,416957
construct_escape_carry_index,14011785,7735
automaton,14015192,1117469
prepare_kernel_input,14019630,313913
construct_combined_index_npu,14367376,1487247
npu_kernel_run,14569468,458776
read_kernel_output,15028775,461811
construct_escape_carry_index,15493542,8205
automaton,15496187,1244829
prepare_kernel_input,15501878,318992
construct_combined_index_npu,15854774,1458001
npu_kernel_run,16050473,456972
read_kernel_output,16507976,441824
construct_escape_carry_index,16953427,7314
automaton,16959118,1137857
prepare_kernel_input,16960871,318221
construct_combined_index_npu,17312936,1464824
npu_kernel_run,17514095,460379
read_kernel_output,17975005,430312
construct_escape_carry_index,18408533,7745
automaton,18413112,1101088
prepare_kernel_input,18416418,327318
construct_combined_index_npu,18777911,1465335
npu_kernel_run,18972888,456903
read_kernel_output,19430322,455149
construct_escape_carry_index,19888537,7704
automaton,19892825,1046355
prepare_kernel_input,19896612,312900
construct_combined_index_npu,20243396,1426443
npu_kernel_run,20438545,438447
read_kernel_output,20877533,421556
construct_escape_carry_index,21302155,7524
automaton,21306573,1076482
prepare_kernel_input,21309779,326216
construct_combined_index_npu,21669989,1482027
npu_kernel_run,21865097,458335
read_kernel_output,22323973,468234
construct_escape_carry_index,22795333,6793
automaton,22799601,1185427
prepare_kernel_input,22802226,316076
construct_combined_index_npu,23152176,1410172
npu_kernel_run,23347294,463916
read_kernel_output,23811741,380338
construct_escape_carry_index,24195435,7204
automaton,24199272,1106970
prepare_kernel_input,24202739,325745
construct_combined_index_npu,24562498,1382399
npu_kernel_run,24757827,458525
read_kernel_output,25216883,368836
construct_escape_carry_index,25588915,7504
automaton,25593053,1054871
prepare_kernel_input,25596529,314674
construct_combined_index_npu,25945037,1440960
npu_kernel_run,26140166,419932
read_kernel_output,26560639,460269
construct_escape_carry_index,27024204,7564
automaton,27028021,1209874
prepare_kernel_input,27031868,320315
construct_combined_index_npu,27386147,1330601
npu_kernel_run,27589551,441213
read_kernel_output,28031094,321687
construct_escape_carry_index,28355256,6422
automaton,28358492,1198242
prepare_kernel_input,28361778,321678
construct_combined_index_npu,28716909,1460196
npu_kernel_run,28911877,442304
read_kernel_output,29354422,457874
construct_escape_carry_index,29814691,6943
automaton,29817947,1124372
prepare_kernel_input,29821734,321707
construct_combined_index_npu,30177255,1406534
npu_kernel_run,30372654,446903
read_kernel_output,30819798,402900
construct_escape_carry_index,31225243,6722
automaton,31231044,1177642
prepare_kernel_input,31232066,318260
construct_combined_index_npu,31583940,1340810
npu_kernel_run,31776263,442625
read_kernel_output,32219179,343037
construct_escape_carry_index,32564741,7454
automaton,32569089,1102190
prepare_kernel_input,32572295,319213
construct_combined_index_npu,32924901,1409199
npu_kernel_run,33117494,440321
read_kernel_output,33558126,417267
construct_escape_carry_index,33977637,6873
automaton,33982076,1205906
prepare_kernel_input,33984611,316286
construct_combined_index_npu,34334301,1411644
npu_kernel_run,34530421,448216
read_kernel_output,34978927,402971
construct_escape_carry_index,35384142,7604
automaton,35388510,1130344
prepare_kernel_input,35391826,320656
construct_combined_index_npu,35746095,1325051
npu_kernel_run,35938709,444949
read_kernel_output,36383959,339050
construct_escape_carry_index,36725203,7424
automaton,36729471,1156703
prepare_kernel_input,36732727,305226
construct_combined_index_npu,37071306,1340410
npu_kernel_run,37263469,415294
read_kernel_output,37679063,379827
construct_escape_carry_index,38061054,6954
automaton,38065713,1089997
prepare_kernel_input,38068088,310426
construct_combined_index_npu,38411856,1425811
npu_kernel_run,38607245,438828
read_kernel_output,39046334,436654
construct_escape_carry_index,39485062,9167
automaton,39489300,1134261
prepare_kernel_input,39494329,310226
construct_combined_index_npu,39837818,1429097
npu_kernel_run,40030241,442325
read_kernel_output,40472806,438067
construct_escape_carry_index,40913147,6482
automaton,40917485,1151373
prepare_kernel_input,40919710,313932
construct_combined_index_npu,41267065,1388972
npu_kernel_run,41464778,425423
read_kernel_output,41890442,407248
construct_escape_carry_index,42300155,7604
automaton,42304613,1034202
prepare_kernel_input,42307859,315065
construct_combined_index_npu,42656257,1376137
npu_kernel_run,42849181,443928
read_kernel_output,43293349,383645
construct_escape_carry_index,43679178,6692
automaton,43683726,1090589
prepare_kernel_input,43685950,313242
construct_combined_index_npu,44032545,1358443
npu_kernel_run,44225358,414403
read_kernel_output,44640021,398111
construct_escape_carry_index,45040397,6993
automaton,45044805,1036657
prepare_kernel_input,45047500,310356
construct_combined_index_npu,45391139,1350789
npu_kernel_run,45586287,445721
read_kernel_output,46032249,349529
construct_escape_carry_index,46384043,6943
automaton,46388571,1015707
prepare_kernel_input,46391056,317609
construct_combined_index_npu,46742078,1297028
npu_kernel_run,46934491,442135
read_kernel_output,47376876,304946
construct_escape_carry_index,47684176,6823
automaton,47688595,1093283
prepare_kernel_input,47691099,314845
construct_combined_index_npu,48039247,1293220
npu_kernel_run,48232050,414813
read_kernel_output,48647104,327338
construct_escape_carry_index,48976596,7363
automaton,48980232,1006520
prepare_kernel_input,48984040,315235
construct_combined_index_npu,49332618,1325331
npu_kernel_run,49528898,445260
read_kernel_output,49974399,322128
construct_escape_carry_index,50298721,7234
automaton,50302087,962397
prepare_kernel_input,50306055,318741
construct_combined_index_npu,50658149,1323909
npu_kernel_run,50850172,447885
read_kernel_output,51298297,320385
construct_escape_carry_index,51620936,7915
automaton,51625515,1062766
prepare_kernel_input,51628921,320024
construct_combined_index_npu,51982198,1339288
npu_kernel_run,52175112,444529
read_kernel_output,52619882,341053
construct_escape_carry_index,52963340,8366
automaton,52967538,1065631
prepare_kernel_input,52971816,316547
construct_combined_index_npu,53321626,1386056
npu_kernel_run,53517235,438308
read_kernel_output,53955783,381841
construct_escape_carry_index,54339878,7755
automaton,54344497,1013332
prepare_kernel_input,54347703,326897
construct_combined_index_npu,54707832,1364626
npu_kernel_run,54899955,440712
read_kernel_output,55340907,368195
construct_escape_carry_index,55711396,6873
automaton,55715785,1078756
prepare_kernel_input,55718370,320995
construct_combined_index_npu,56072648,1335952
npu_kernel_run,56265582,415905
read_kernel_output,56681728,362324
construct_escape_carry_index,57046426,7474
automaton,57050704,1023141
prepare_kernel_input,57053980,321477
construct_combined_index_npu,57408750,1377189
npu_kernel_run,57603417,442796
read_kernel_output,58046443,371962
construct_escape_carry_index,58420650,8195
automaton,58423966,1005568
prepare_kernel_input,58428945,323972
construct_combined_index_npu,58786139,1401556
npu_kernel_run,58979204,441253
read_kernel_output,59420697,399454
construct_escape_carry_index,59822315,7634
automaton,59825591,1020937
prepare_kernel_input,59830030,324522
construct_combined_index_npu,60187845,1397047
npu_kernel_run,60380148,417959
read_kernel_output,60798237,414793
construct_escape_carry_index,61216005,8086
automaton,61220193,1113772
prepare_kernel_input,61224191,327578
construct_combined_index_npu,61585052,1420030
npu_kernel_run,61777555,450811
read_kernel_output,62228607,406507
construct_escape_carry_index,62637338,7504
automaton,62641886,1159669
prepare_kernel_input,62644932,327047
construct_combined_index_npu,63005222,1331684
npu_kernel_run,63197916,415584
read_kernel_output,63613751,362063
construct_escape_carry_index,63978389,8145
automaton,63982447,1046054
prepare_kernel_input,63986885,316898
construct_combined_index_npu,64337066,1414129
npu_kernel_run,64534629,444709
read_kernel_output,64979578,410465
construct_escape_carry_index,65392348,6802
automaton,65396896,1126426
prepare_kernel_input,65399251,318841
construct_combined_index_npu,65751385,1354617
npu_kernel_run,65944119,440030
read_kernel_output,66384400,368195
construct_escape_carry_index,66754909,6843
automaton,66759147,1022249
prepare_kernel_input,66761852,311077
construct_combined_index_npu,67106162,1307688
npu_kernel_run,67299317,420133
read_kernel_output,67719690,334441
construct_escape_carry_index,68056345,7284
automaton,68059712,960182
prepare_kernel_input,68063729,316959
construct_combined_index_npu,68414000,1378252
npu_kernel_run,68611243,443948
read_kernel_output,69055471,377382
construct_escape_carry_index,69435218,10970
automaton,69438774,1001350
prepare_kernel_input,69446289,312890
construct_combined_index_npu,69792412,1279485
npu_kernel_run,69984855,442786
read_kernel_output,70427881,289467
construct_escape_carry_index,70719512,6883
automaton,70722858,859853
prepare_kernel_input,70726495,312470
construct_combined_index_npu,71072047,1335941
npu_kernel_run,71264630,415114
read_kernel_output,71680024,374627
construct_escape_carry_index,72056856,6873
automaton,72060472,969841
prepare_kernel_input,72063829,311037
construct_combined_index_npu,72408149,1267732
npu_kernel_run,72606172,441904
read_kernel_output,73048347,272745
construct_escape_carry_index,73323356,7664
automaton,73326562,806101
prepare_kernel_input,73331121,311768
construct_combined_index_npu,73676062,1317666
npu_kernel_run,73868465,442194
read_kernel_output,74310930,321687
construct_escape_carry_index,74634961,7474
automaton,74641383,950845
prepare_kernel_input,74642536,318180
construct_combined_index_npu,74993889,1341061
npu_kernel_run,75186623,416265
