task,start_ns,duration_ns
construct_escape_carry_index,0,9367
prepare_kernel_input,9578,317519
construct_combined_index_npu,328149,4959630
npu_kernel_run,530200,4403230
construct_escape_carry_index,4938019,8015
prepare_kernel_input,4946144,306338
construct_combined_index_npu,5288080,1644012
npu_kernel_run,5482346,575697
read_kernel_output,6059375,488191
construct_escape_carry_index,6562925,6873
prepare_kernel_input,6569869,327087
automaton,6582342,1485814
construct_combined_index_npu,6932242,1565805
npu_kernel_run,7127942,490155
read_kernel_output,7618788,480186
construct_escape_carry_index,8106639,8356
automaton,8112089,1460707
prepare_kernel_input,8115385,347396
construct_combined_index_npu,8498438,1582296
npu_kernel_run,8701061,495404
read_kernel_output,9197107,490876
construct_escape_carry_index,9692832,9378
prepare_kernel_input,9702290,343118
automaton,9711668,1538594
construct_combined_index_npu,10080905,1585041
npu_kernel_run,10277015,426475
read_kernel_output,10704161,473694
automaton,11250502,1588648
construct_escape_carry_index,11268927,8826
prepare_kernel_input,11277884,353387
construct_combined_index_npu,11666086,1564022
npu_kernel_run,11861605,484965
read_kernel_output,12347232,493541
construct_escape_carry_index,12845833,7955
automaton,12848598,1702603
prepare_kernel_input,12853888,341494
construct_combined_index_npu,13230318,1736648
npu_kernel_run,13428903,472512
read_kernel_output,13902276,474726
automaton,14551381,1702794
construct_escape_carry_index,14569636,8576
prepare_kernel_input,14578352,353798
construct_combined_index_npu,14967156,1699598
npu_kernel_run,15162966,453205
read_kernel_output,15616782,478794
automaton,16254355,1772976
construct_escape_carry_index,16272780,8436
prepare_kernel_input,16281326,350111
construct_combined_index_npu,16666924,1762416
npu_kernel_run,16862132,454228
read_kernel_output,17316971,481999
automaton,18027482,1959528
construct_escape_carry_index,18045856,9148
prepare_kernel_input,18055144,339731
construct_combined_index_npu,18429540,1967654
npu_kernel_run,18632293,438017
read_kernel_output,19070921,473023
automaton,19987110,1818452
construct_escape_carry_index,20005465,8916
prepare_kernel_input,20014522,347616
construct_combined_index_npu,20397424,1808503
npu_kernel_run,20598434,414562
read_kernel_output,21013277,469766
automaton,21805662,1818622
construct_escape_carry_index,21810020,21130
prepare_kernel_input,21831230,339641
construct_combined_index_npu,22206118,1816498
npu_kernel_run,22402528,437095
read_kernel_output,22839944,468544
automaton,23624565,1883173
construct_escape_carry_index,23629133,8707
prepare_kernel_input,23637920,349920
construct_combined_index_npu,24022816,1897712
npu_kernel_run,24219547,424001
read_kernel_output,24643888,469827
automaton,25507829,1904614
construct_escape_carry_index,25512507,8697
prepare_kernel_input,25521284,365871
construct_combined_index_npu,25920718,1891249
npu_kernel_run,26113993,454097
read_kernel_output,26568901,481880
automaton,27412543,1951052
construct_escape_carry_index,27419106,9207
prepare_kernel_input,27428483,349680
construct_combined_index_npu,27812127,1932057
npu_kernel_run,28011514,432185
read_kernel_output,28444010,481579
automaton,29363686,1847677
construct_escape_carry_index,29367984,8145
prepare_kernel_input,29376199,334622
construct_combined_index_npu,29744334,1845753
npu_kernel_run,29937348,434170
read_kernel_output,30371818,475928
automaton,31211453,1856063
construct_escape_carry_index,31215881,8847
prepare_kernel_input,31224858,331676
construct_combined_index_npu,31590288,1862404
npu_kernel_run,31790035,429440
read_kernel_output,32219776,481669
automaton,33067616,1873485
construct_escape_carry_index,33072104,9729
prepare_kernel_input,33081903,337146
construct_combined_index_npu,33452883,1869237
npu_kernel_run,33650726,425904
read_kernel_output,34076931,476168
automaton,34941192,1930473
construct_escape_carry_index,34945570,10279
prepare_kernel_input,34955929,332969
construct_combined_index_npu,35322271,1922428
npu_kernel_run,35515175,429060
read_kernel_output,35944525,476129
automaton,36871765,1876030
construct_escape_carry_index,36876073,9107
prepare_kernel_input,36885300,325966
construct_combined_index_npu,37244849,1885699
npu_kernel_run,37437312,429481
read_kernel_output,37867083,472252
automaton,38747886,1820155
construct_escape_carry_index,38752053,8456
prepare_kernel_input,38760590,336535
construct_combined_index_npu,39130698,1819514
npu_kernel_run,39322921,428719
read_kernel_output,39751951,471700
automaton,40568131,1808733
construct_escape_carry_index,40571898,15279
prepare_kernel_input,40587257,329572
construct_combined_index_npu,40950342,1808263
npu_kernel_run,41135391,431615
read_kernel_output,41567306,496808
automaton,42377035,1873676
construct_escape_carry_index,42380882,13936
prepare_kernel_input,42394898,330404
construct_combined_index_npu,42758755,1882453
npu_kernel_run,42951098,429581
read_kernel_output,43380969,479285
automaton,44250801,1919202
construct_escape_carry_index,44255580,8245
prepare_kernel_input,44263906,343829
construct_combined_index_npu,44641398,1907340
npu_kernel_run,44832318,429771
read_kernel_output,45262380,476810
automaton,46170093,1992210
construct_escape_carry_index,46174642,8856
prepare_kernel_input,46183608,331436
construct_combined_index_npu,46548938,1987250
npu_kernel_run,46746761,430683
read_kernel_output,47177745,481388
automaton,48162393,1946634
construct_escape_carry_index,48166691,8777
prepare_kernel_input,48175538,326837
construct_combined_index_npu,48536389,1944960
npu_kernel_run,48734503,434520
read_kernel_output,49169343,476109
automaton,50109117,1964507
construct_escape_carry_index,50113575,8506
prepare_kernel_input,50122161,325455
construct_combined_index_npu,50481560,1968244
npu_kernel_run,50680044,428399
read_kernel_output,51108733,471170
automaton,52073734,1962574
construct_escape_carry_index,52078083,10119
prepare_kernel_input,52088302,327779
construct_combined_index_npu,52450005,1965399
npu_kernel_run,52645964,427006
read_kernel_output,53073251,470708
automaton,54036408,1945332
construct_escape_carry_index,54040677,16491
prepare_kernel_input,54057248,324162
construct_combined_index_npu,54415554,1941764
npu_kernel_run,54612175,425533
read_kernel_output,55038009,471470
automaton,55981830,1896048
construct_escape_carry_index,55986338,8506
prepare_kernel_input,55994915,328249
construct_combined_index_npu,56357469,1893253
npu_kernel_run,56550022,426315
read_kernel_output,56976627,472482
automaton,57877968,1932808
construct_escape_carry_index,57882256,8857
prepare_kernel_input,57891193,325314
construct_combined_index_npu,58250902,1934501
npu_kernel_run,58444277,436424
read_kernel_output,58881001,472602
automaton,59810876,1961833
construct_escape_carry_index,59814994,8496
prepare_kernel_input,59823570,328109
construct_combined_index_npu,60185593,1958216
npu_kernel_run,60378217,437365
read_kernel_output,60815873,472582
automaton,61772799,2029710
construct_escape_carry_index,61777077,8255
prepare_kernel_input,61785413,324492
construct_combined_index_npu,62143959,2029671
npu_kernel_run,62337274,431524
read_kernel_output,62769109,473383
automaton,63802609,1993262
construct_escape_carry_index,63807018,8556
prepare_kernel_input,63815654,324583
construct_combined_index_npu,64173830,2006296
npu_kernel_run,64366183,440972
read_kernel_output,64807446,470087
automaton,65795961,1949289
construct_escape_carry_index,65800610,9839
prepare_kernel_input,65810529,336134
construct_combined_index_npu,66180277,1945261
npu_kernel_run,66373331,435883
read_kernel_output,66809524,471069
